,Date,Country,Continent,Code,Cases,Deaths
174,01/03/2020,Afghanistan,Asia,AFG,0,0
175,29/02/2020,Afghanistan,Asia,AFG,0,0
176,28/02/2020,Afghanistan,Asia,AFG,0,0
177,27/02/2020,Afghanistan,Asia,AFG,0,0
178,26/02/2020,Afghanistan,Asia,AFG,0,0
179,25/02/2020,Afghanistan,Asia,AFG,1,0
180,24/02/2020,Afghanistan,Asia,AFG,0,0
181,23/02/2020,Afghanistan,Asia,AFG,0,0
182,22/02/2020,Afghanistan,Asia,AFG,0,0
183,21/02/2020,Afghanistan,Asia,AFG,0,0
184,20/02/2020,Afghanistan,Asia,AFG,0,0
185,19/02/2020,Afghanistan,Asia,AFG,0,0
186,18/02/2020,Afghanistan,Asia,AFG,0,0
187,17/02/2020,Afghanistan,Asia,AFG,0,0
188,16/02/2020,Afghanistan,Asia,AFG,0,0
189,15/02/2020,Afghanistan,Asia,AFG,0,0
190,14/02/2020,Afghanistan,Asia,AFG,0,0
191,13/02/2020,Afghanistan,Asia,AFG,0,0
192,12/02/2020,Afghanistan,Asia,AFG,0,0
193,11/02/2020,Afghanistan,Asia,AFG,0,0
194,10/02/2020,Afghanistan,Asia,AFG,0,0
195,09/02/2020,Afghanistan,Asia,AFG,0,0
196,08/02/2020,Afghanistan,Asia,AFG,0,0
197,07/02/2020,Afghanistan,Asia,AFG,0,0
198,06/02/2020,Afghanistan,Asia,AFG,0,0
199,05/02/2020,Afghanistan,Asia,AFG,0,0
200,04/02/2020,Afghanistan,Asia,AFG,0,0
201,03/02/2020,Afghanistan,Asia,AFG,0,0
202,02/02/2020,Afghanistan,Asia,AFG,0,0
203,01/02/2020,Afghanistan,Asia,AFG,0,0
204,31/01/2020,Afghanistan,Asia,AFG,0,0
205,30/01/2020,Afghanistan,Asia,AFG,0,0
206,29/01/2020,Afghanistan,Asia,AFG,0,0
207,28/01/2020,Afghanistan,Asia,AFG,0,0
208,27/01/2020,Afghanistan,Asia,AFG,0,0
209,26/01/2020,Afghanistan,Asia,AFG,0,0
210,25/01/2020,Afghanistan,Asia,AFG,0,0
211,24/01/2020,Afghanistan,Asia,AFG,0,0
212,23/01/2020,Afghanistan,Asia,AFG,0,0
213,22/01/2020,Afghanistan,Asia,AFG,0,0
214,21/01/2020,Afghanistan,Asia,AFG,0,0
215,20/01/2020,Afghanistan,Asia,AFG,0,0
216,19/01/2020,Afghanistan,Asia,AFG,0,0
217,18/01/2020,Afghanistan,Asia,AFG,0,0
218,17/01/2020,Afghanistan,Asia,AFG,0,0
219,16/01/2020,Afghanistan,Asia,AFG,0,0
220,15/01/2020,Afghanistan,Asia,AFG,0,0
221,14/01/2020,Afghanistan,Asia,AFG,0,0
222,13/01/2020,Afghanistan,Asia,AFG,0,0
223,12/01/2020,Afghanistan,Asia,AFG,0,0
224,11/01/2020,Afghanistan,Asia,AFG,0,0
225,10/01/2020,Afghanistan,Asia,AFG,0,0
226,09/01/2020,Afghanistan,Asia,AFG,0,0
227,08/01/2020,Afghanistan,Asia,AFG,0,0
228,07/01/2020,Afghanistan,Asia,AFG,0,0
229,06/01/2020,Afghanistan,Asia,AFG,0,0
230,05/01/2020,Afghanistan,Asia,AFG,0,0
231,04/01/2020,Afghanistan,Asia,AFG,0,0
232,03/01/2020,Afghanistan,Asia,AFG,0,0
233,02/01/2020,Afghanistan,Asia,AFG,0,0
234,01/01/2020,Afghanistan,Asia,AFG,0,0
235,31/12/2019,Afghanistan,Asia,AFG,0,0
236,01/09/2020,Albania,Europe,ALB,133,4
237,31/08/2020,Albania,Europe,ALB,101,5
238,30/08/2020,Albania,Europe,ALB,84,4
239,29/08/2020,Albania,Europe,ALB,112,5
240,28/08/2020,Albania,Europe,ALB,156,3
241,27/08/2020,Albania,Europe,ALB,168,4
242,26/08/2020,Albania,Europe,ALB,154,5
243,25/08/2020,Albania,Europe,ALB,178,4
244,24/08/2020,Albania,Europe,ALB,152,5
245,23/08/2020,Albania,Europe,ALB,156,5
246,22/08/2020,Albania,Europe,ALB,152,2
247,21/08/2020,Albania,Europe,ALB,155,4
248,20/08/2020,Albania,Europe,ALB,158,2
249,19/08/2020,Albania,Europe,ALB,155,2
250,18/08/2020,Albania,Europe,ALB,119,2
251,17/08/2020,Albania,Europe,ALB,120,3
252,16/08/2020,Albania,Europe,ALB,143,6
253,15/08/2020,Albania,Europe,ALB,146,6
254,14/08/2020,Albania,Europe,ALB,154,5
255,13/08/2020,Albania,Europe,ALB,141,3
256,12/08/2020,Albania,Europe,ALB,140,5
257,11/08/2020,Albania,Europe,ALB,125,1
258,10/08/2020,Albania,Europe,ALB,136,6
259,09/08/2020,Albania,Europe,ALB,124,4
260,08/08/2020,Albania,Europe,ALB,135,1
261,07/08/2020,Albania,Europe,ALB,127,6
262,06/08/2020,Albania,Europe,ALB,139,6
263,05/08/2020,Albania,Europe,ALB,130,4
264,04/08/2020,Albania,Europe,ALB,101,6
265,03/08/2020,Albania,Europe,ALB,123,5
266,02/08/2020,Albania,Europe,ALB,120,4
267,01/08/2020,Albania,Europe,ALB,79,3
268,31/07/2020,Albania,Europe,ALB,92,4
269,30/07/2020,Albania,Europe,ALB,108,2
270,29/07/2020,Albania,Europe,ALB,117,4
271,28/07/2020,Albania,Europe,ALB,117,6
272,27/07/2020,Albania,Europe,ALB,126,4
273,26/07/2020,Albania,Europe,ALB,67,6
274,25/07/2020,Albania,Europe,ALB,104,5
275,24/07/2020,Albania,Europe,ALB,108,3
276,23/07/2020,Albania,Europe,ALB,68,3
277,22/07/2020,Albania,Europe,ALB,119,4
278,21/07/2020,Albania,Europe,ALB,81,1
279,20/07/2020,Albania,Europe,ALB,82,1
280,19/07/2020,Albania,Europe,ALB,102,4
281,18/07/2020,Albania,Europe,ALB,55,3
282,17/07/2020,Albania,Europe,ALB,99,3
283,16/07/2020,Albania,Europe,ALB,85,4
284,15/07/2020,Albania,Europe,ALB,96,2
285,14/07/2020,Albania,Europe,ALB,117,2
286,13/07/2020,Albania,Europe,ALB,83,4
287,12/07/2020,Albania,Europe,ALB,93,4
288,11/07/2020,Albania,Europe,ALB,90,2
289,10/07/2020,Albania,Europe,ALB,82,0
290,09/07/2020,Albania,Europe,ALB,68,2
291,08/07/2020,Albania,Europe,ALB,74,2
292,07/07/2020,Albania,Europe,ALB,71,3
293,06/07/2020,Albania,Europe,ALB,74,2
294,05/07/2020,Albania,Europe,ALB,67,2
